+--------+--------------------+-----------------+-------+------------------+
| Graph6 | Number of vertexes | Number of edges | Girth | Chromatic number |
| G?qdvK |         8          |        26       |   3   |        3         |
| G?qduk |         8          |        26       |   3   |        3         |
| G?qdtk |         8          |        26       |   3   |        3         |
| G?qdrk |         8          |        26       |   3   |        3         |
| G?qdu[ |         8          |        26       |   3   |        4         |
| G?qdt[ |         8          |        26       |   3   |        4         |
| G?qdr[ |         8          |        26       |   3   |        3         |
| G?qdq{ |         8          |        26       |   3   |        3         |
| G?qdp{ |         8          |        26       |   3   |        3         |
| G?qdvw |         8          |        28       |   3   |        3         |
| G?qdvs |         8          |        28       |   3   |        4         |
| G?qdvk |         8          |        28       |   3   |        3         |
| G?qdv[ |         8          |        28       |   3   |        4         |
| G?qdu{ |         8          |        28       |   3   |        4         |
| G?qdt{ |         8          |        28       |   3   |        4         |
| G?qdr{ |         8          |        28       |   3   |        3         |
| G?qdv{ |         8          |        30       |   3   |        4         |
| G?qbrg |         8          |        24       |   3   |        3         |
| G?qbvo |         8          |        26       |   3   |        3         |
| G?qbvg |         8          |        26       |   3   |        3         |
| G?qbvW |         8          |        26       |   3   |        3         |
| G?qbuw |         8          |        26       |   3   |        3         |
| G?qbtw |         8          |        26       |   3   |        3         |
| G?qbrw |         8          |        26       |   3   |        3         |
| G?qbrs |         8          |        26       |   3   |        4         |
| G?qbrk |         8          |        26       |   3   |        3         |
| G?qbr[ |         8          |        26       |   3   |        4         |
| G?qbvw |         8          |        28       |   3   |        3         |
| G?qbvs |         8          |        28       |   3   |        4         |
| G?qbvk |         8          |        28       |   3   |        3         |
| G?qbv[ |         8          |        28       |   3   |        4         |
